Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Temperature_C,Humidity_Percent,Soil_Type,Soil_pH,Nitrogen_kg_ha,Phosphorus_kg_ha,Potassium_kg_ha,Soil_Moisture_Percent,Irrigation_Type,Crop_Variety,Sowing_Month,Harvest_Month,Growing_Days,Soil_Fertility_Index,Pest_Risk_Index,Disease_Risk_Index,Water_Availability_Index,Weather_Stress_Index,Crop_Health_Index
Soyabean,2018,Kharif,Tripura,56.0,41,2169.1,9083.2,19.6,0.758333333,27.6,95.0,Loamy,6.86,242.2,77.9,103.0,63.7,Rainfed,HYV,May,September,106,73.0,55.7,45.5,51.3,41.5,56.4
Safflower,2004,Rabi,Madhya Pradesh,1205.0,328,895.7,130549.7,253.05,0.265882353,19.3,48.2,Red,5.64,130.7,44.6,49.6,42.5,Canal,Local,October,March,140,36.8,25.4,26.9,33.8,16.4,64.4
Soyabean,2015,Kharif,Andhra Pradesh,1210.0,1786,940.7,191071.1,399.3,1.45,27.8,73.2,Black,7.42,266.4,84.3,96.2,46.1,Sprinkler,Local,June,September,104,69.5,26.2,34.0,31.4,34.9,58.2
Small millets,2013,Whole Year,Kerala,40.0,35,3255.4,5779.6,10.8,0.88,28.6,83.8,Red,5.81,149.6,51.0,72.9,52.0,Rainfed,Local,January,April,100,44.9,19.6,30.7,48.4,27.8,57.0
Gram,2009,Rabi,Haryana,84031.0,62000,393.0,13093710.42,14285.27,0.4295,17.4,33.8,Loamy,6.49,230.7,87.4,79.6,34.7,Sprinkler,Local,December,April,105,61.9,2.3,5.9,27.7,40.4,61.5
Bajra,2001,Rabi,Karnataka,442.0,221,1002.9,45141.46,114.92,0.5,24.5,51.3,Red,5.77,98.6,38.7,26.3,35.5,Rainfed,Hybrid,October,January,84,34.6,27.6,14.7,9.6,51.9,34.6
Maize,2012,Rabi,West Bengal,33709.0,157468,1566.0,5083317.2,10449.79,3.544166667,21.4,78.9,Alluvial,7.22,200.0,68.5,92.4,64.1,Borewell,High Yielding Variety,December,March,94,69.8,34.2,31.0,67.3,42.4,68.8
Maize,2010,Kharif,Delhi,40.0,878,989.5,6644.4,9.6,21.95,28.2,64.8,Alluvial,7.6,261.7,84.3,102.4,46.6,Canal,HQPM,May,September,108,67.6,35.8,33.6,48.7,21.8,62.7
Small millets,2005,Kharif,Tamil Nadu,40366.0,30071,1364.1,4840690.72,8476.86,0.77375,27.6,82.1,Red,6.15,137.8,57.6,61.8,68.8,Borewell,Hybrid,July,October,92,61.5,29.7,9.1,57.5,10.0,69.6
Rice,2013,Summer,Uttar Pradesh,27063.0,70171,995.2,3910332.87,7307.01,2.479047619,31.7,45.3,Alluvial,6.78,187.7,75.0,81.9,55.7,Canal,Hybrid,April,August,133,59.0,33.7,51.3,41.3,66.9,58.8
Other  Rabi pulses,2015,Rabi,Karnataka,11561.0,7316,1024.9,1825597.51,3815.13,0.624444444,17.5,53.1,Red,5.62,197.3,75.9,83.0,46.6,Canal,Local,December,April,113,56.1,5.0,18.6,48.4,19.4,55.4
Onion,1997,Kharif,Manipur,2.0,5,2053.3,190.34,0.62,2.5,22.2,95.0,Loamy,6.36,152.1,47.0,37.9,59.0,Rainfed,Improved,July,December,140,54.6,32.5,58.9,57.0,30.9,58.8
Gram,2010,Rabi,Tripura,109.0,81,2348.3,18105.99,26.16,0.775,16.8,90.7,Laterite,5.63,189.7,84.8,97.1,69.4,Canal,Pusa 372,November,March,109,64.9,15.9,33.3,70.0,41.9,62.7
Jowar,2009,Summer,Karnataka,5973.0,8824,1321.0,930712.86,1015.41,1.498461538,32.1,48.3,Red,6.32,192.2,76.3,85.8,47.8,Rainfed,Local,March,July,113,62.5,26.7,21.2,38.9,46.2,47.8
Sugarcane,2012,Whole Year,Tamil Nadu,348379.0,34014097,706.8,52535553.2,107997.49,93.54354839,28.7,70.5,Black,7.4,176.4,67.1,86.7,57.1,Canal,Hybrid,February,February,349,60.9,20.8,38.5,47.7,13.9,56.0
Banana,2019,Kharif,Telangana,1670.0,98707,1031.7,286839.2,617.9,59.12423077,27.7,66.4,Alluvial,7.26,230.9,94.6,142.7,64.2,Borewell,Improved,July,June,325,77.9,17.8,57.0,39.6,23.9,73.3
Urad,2005,Rabi,Assam,35376.0,17331,2184.6,4242289.92,7428.96,0.488888889,23.5,81.6,Loamy,6.65,161.2,67.1,71.4,58.7,Rainfed,Local,November,January,75,67.1,23.4,14.0,36.6,56.7,64.8
Maize,2010,Rabi,West Bengal,17229.0,84356,1096.0,2861909.19,4134.96,3.234545455,24.8,62.4,Loamy,6.88,218.9,90.9,95.1,42.5,Rainfed,HQPM,October,February,106,71.9,38.5,29.5,25.2,24.3,59.7
Jowar,2018,Rabi,Andhra Pradesh,140651.0,227506,1220.5,22813592.2,49227.85,1.477777778,22.0,57.7,Alluvial,7.09,230.5,87.7,107.1,35.4,Rainfed,HYV,November,March,111,71.1,20.0,23.5,24.2,50.1,44.6
Barley,2003,Kharif,Delhi,86.0,255,962.3,8512.28,20.64,2.97,23.3,59.9,Loamy,7.16,142.1,58.3,56.7,55.0,Drip,Local,July,December,141,45.8,27.3,9.3,43.8,44.9,53.7
other oilseeds,2000,Rabi,Uttarakhand,128.0,88,1413.4,12565.76,33.28,0.572857143,16.0,56.7,Alluvial,7.52,126.8,48.8,52.3,44.6,Rainfed,Improved,December,April,107,43.5,25.4,23.0,38.9,37.6,48.1
Cotton(lint),2017,Rabi,Tamil Nadu,43341.0,101,970.9,6823607.04,16469.58,0.0,27.6,66.5,Red,5.86,176.9,67.9,85.5,36.3,Drip,Hybrid,November,April,162,49.9,51.7,32.3,32.0,10.2,56.9
Dry chillies,2018,Kharif,Andhra Pradesh,143497.0,450822,1220.5,23275213.4,50223.95,2.991666667,30.9,63.3,Black,7.96,230.5,90.0,112.8,50.6,Borewell,Hybrid,July,December,160,68.3,47.0,23.5,46.7,47.1,57.7
Maize,2007,Summer,West Bengal,25240.0,90290,2007.5,3367016.0,4038.4,2.845294118,29.6,76.1,Black,7.1,173.4,61.7,81.1,60.6,Rainfed,Local,April,July,93,60.9,36.0,41.5,43.6,37.4,50.3
Maize,2018,Rabi,West Bengal,102911.0,745795,2012.6,16692164.2,36018.85,4.09,23.4,80.7,Alluvial,7.05,241.0,84.7,106.3,60.8,Rainfed,Local,October,February,106,73.1,37.8,44.9,42.6,32.6,60.9
Rice,2015,Winter,Assam,1888683.0,3727039,2155.3,298241932.5,623265.39,1.965925926,22.3,85.2,Laterite,6.1,211.1,61.2,108.6,66.0,Rainfed,Local,November,March,135,65.4,28.3,45.3,51.8,53.5,57.6
Gram,2002,Rabi,Meghalaya,487.0,299,4355.3,46104.29,121.75,0.6,17.8,72.6,Laterite,5.41,85.6,28.0,25.9,60.9,Rainfed,JG 11,November,February,97,33.2,21.5,29.7,48.9,26.0,56.2
Rice,2004,Autumn,Bihar,534477.0,477325,1147.8,57905238.18,112240.17,0.788148148,23.9,58.0,Loamy,7.2,155.9,70.9,79.5,61.8,Canal,Basmati,October,February,123,67.6,41.9,37.2,48.2,39.4,66.9
Groundnut,2010,Autumn,West Bengal,2239.0,1946,1096.0,371920.29,537.36,1.016,26.4,74.2,Alluvial,7.55,233.5,83.4,111.7,54.6,Canal,JL 24,September,January,120,61.7,21.1,52.8,58.9,13.1,60.0
Jowar,2015,Kharif,Delhi,3161.0,3034,757.7,499153.51,1043.13,0.96,28.4,59.8,Black,8.33,226.8,82.0,77.8,47.0,Borewell,HYV,May,September,128,59.8,19.1,11.7,43.1,0.1,76.6
Banana,1999,Whole Year,Goa,1950.0,14500,3879.3,206953.5,526.5,7.44,27.5,90.9,Alluvial,6.62,168.1,65.0,70.6,72.4,Rainfed,Robusta,January,January,354,71.9,33.2,44.4,62.9,19.9,70.6
Maize,2018,Kharif,Punjab,109200.0,395900,585.5,17712240.0,38220.0,3.54625,27.3,45.9,Loamy,6.24,204.5,84.9,95.4,50.4,Borewell,Improved,May,September,108,58.7,37.7,30.0,28.0,25.8,42.1
Bajra,2004,Kharif,Uttar Pradesh,878399.0,1335462,704.0,95165747.66,184463.79,1.386666667,29.5,64.5,Sandy Loam,6.31,129.4,52.8,47.0,50.2,Borewell,Hybrid,June,September,78,39.6,33.0,28.6,19.6,7.3,43.9
Groundnut,2009,Rabi,Goa,2258.0,6857,3334.9,351841.56,383.86,2.3,24.2,93.6,Sandy Loam,6.94,217.9,64.0,86.6,61.7,Rainfed,Local,November,March,114,63.5,48.5,25.5,74.4,36.3,63.3
Wheat,2015,Rabi,Manipur,2250.0,5620,1329.1,355297.5,742.5,2.503333333,10.5,68.0,Laterite,5.86,187.1,71.4,96.1,41.9,Rainfed,HYV,November,March,134,63.8,12.8,15.4,34.1,52.3,64.5
Sunflower,2016,Kharif,Karnataka,133872.0,78670,1147.2,20515884.0,46855.2,0.532173913,29.1,63.0,Loamy,7.02,174.9,68.1,83.8,48.2,Rainfed,HYV,June,September,99,56.6,21.7,25.7,27.8,50.4,45.5
Coriander,2017,Whole Year,Chhattisgarh,1690.0,464,1124.5,266073.6,642.2,0.265,19.0,78.9,Red,5.61,198.9,65.3,102.7,40.5,Rainfed,Local,January,April,103,52.5,18.2,41.3,24.4,18.5,58.9
Linseed,2014,Rabi,Himachal Pradesh,680.0,163,1019.9,102652.8,224.4,0.235,12.6,49.6,Black,7.53,211.3,71.6,91.1,35.4,Rainfed,HYV,November,March,131,52.5,12.2,33.5,19.1,50.4,46.6
Ragi,2010,Kharif,Maharashtra,120000.0,117500,1389.0,19933200.0,28800.0,1.044166667,28.9,68.2,Red,5.7,215.5,90.7,100.6,48.9,Rainfed,Local,June,October,111,57.6,2.4,25.2,32.7,35.5,58.3
Sunflower,2009,Kharif,West Bengal,10780.0,13021,1317.2,1679739.6,1832.6,1.233125,28.5,80.6,Loamy,6.62,211.7,72.3,76.0,50.3,Rainfed,KBSH,July,October,95,77.7,34.7,34.8,36.7,56.3,54.2
Sesamum,2014,Summer,Gujarat,53301.0,26290,605.6,8046318.96,17589.33,0.470740741,30.9,43.7,Sandy,6.81,154.1,46.5,72.0,31.9,Drip,Improved,April,July,89,58.5,20.0,16.5,16.6,38.7,50.1
Wheat,2000,Rabi,Andhra Pradesh,14261.0,8121,935.6,1400002.37,3707.86,0.581818182,21.4,58.4,Red,6.47,59.3,31.7,49.6,52.9,Drip,HD 2967,October,February,133,38.4,13.9,28.4,33.7,36.9,53.9
Horse-gram,2018,Kharif,Uttarakhand,12898.0,11419,1373.0,2092055.6,4514.3,0.885454545,25.4,78.2,Alluvial,6.66,252.3,81.6,116.9,62.8,Drip,Local,July,October,103,83.5,26.7,27.7,63.0,5.8,74.1
Rapeseed &Mustard,2006,Rabi,Nagaland,27500.0,20650,1362.5,3512025.0,6050.0,0.71375,17.4,64.1,Loamy,6.14,178.9,54.2,64.8,49.0,Rainfed,Local,November,March,113,50.9,10.8,40.6,31.6,0.0,64.9
Soyabean,2013,Kharif,Gujarat,59954.0,47747,1006.5,8662753.46,16187.58,0.791111111,27.4,54.9,Black,7.31,189.1,69.2,91.1,54.7,Borewell,HYV,May,September,106,62.2,16.5,25.9,41.2,31.5,63.7
Safflower,2013,Rabi,Chhattisgarh,532.0,184,1418.3,76868.68,143.64,0.408333333,17.8,63.1,Loamy,6.21,138.0,73.9,101.8,49.9,Rainfed,Improved,December,May,142,54.8,7.5,14.2,38.1,29.5,57.0
Sugarcane,2010,Kharif,Jammu and Kashmir,18.0,27,1352.0,2989.98,4.32,1.5,24.6,73.0,Alluvial,7.18,239.4,94.0,105.3,48.4,Rainfed,Co 86032,May,April,332,77.0,37.0,25.3,29.7,63.5,55.0
Maize,1997,Kharif,Madhya Pradesh,808300.0,1085400,1189.1,76925911.0,250573.0,1.143023256,25.3,48.7,Black,7.45,141.5,43.0,72.0,60.0,Canal,Hybrid,June,October,105,47.6,32.3,28.1,55.6,10.6,65.2
Sesamum,2013,Kharif,Gujarat,109072.0,57003,1006.5,15759813.28,29449.44,0.470833333,29.4,59.4,Red,5.91,171.9,52.5,67.2,35.3,Rainfed,Hybrid,July,October,93,52.6,24.7,20.6,16.2,5.2,53.3
Sugarcane,2015,Whole Year,Uttarakhand,95538.0,5656014,1247.6,15086405.58,31527.54,63.5,26.7,61.5,Alluvial,7.36,207.1,93.9,106.6,55.4,Canal,Hybrid,January,December,318,75.9,42.4,29.4,65.8,9.4,66.2
Moong(Green Gram),2011,Rabi,Tripura,251.0,147,2295.609091,42047.52,82.83,0.585,25.0,74.6,Loamy,6.72,258.1,78.9,107.3,64.3,Rainfed,Improved,October,December,63,80.5,31.2,33.0,52.2,41.8,49.6
Rapeseed &Mustard,2000,Rabi,Meghalaya,7126.0,4730,6258.8,699559.42,1852.76,0.664285714,15.8,79.1,Alluvial,7.05,117.5,54.9,39.2,62.0,Rainfed,Local,December,April,112,46.7,29.1,34.2,68.6,25.0,64.4
Cotton(lint),2001,Kharif,Uttar Pradesh,4512.0,4571,849.9,460810.56,1173.12,1.3275,28.7,77.9,Alluvial,6.92,127.2,52.6,57.9,35.9,Rainfed,Hybrid,July,December,154,51.4,59.2,52.4,0.0,63.9,22.8
Jute,1999,Kharif,Odisha,13890.0,91740,1484.3,1474145.7,3750.3,5.435,29.5,79.2,Laterite,5.94,96.1,49.7,47.5,60.4,Canal,Improved,July,November,114,45.2,24.3,28.3,66.2,14.0,63.3
Tapioca,2008,Kharif,Nagaland,1600.0,36880,1540.9,228864.0,144.0,23.06,24.1,92.5,Laterite,5.61,136.9,47.0,73.8,67.5,Canal,H-165,May,February,280,54.0,20.1,26.9,64.2,56.4,73.6
Ginger,2017,Whole Year,Madhya Pradesh,23431.48,377473,800.0,3689052.211,8903.9624,16.20208333,25.0,46.4,Black,8.18,200.4,84.2,107.5,30.9,Rainfed,Rio-de-Janeiro,January,September,229,48.6,26.0,33.3,3.3,41.0,47.4
Maize,2002,Kharif,Andhra Pradesh,413659.0,912047,648.1,39161097.53,103414.75,1.491363636,30.0,69.2,Red,6.37,78.8,19.2,30.9,31.9,Rainfed,Hybrid,May,August,99,32.3,47.4,17.1,1.7,65.7,29.4
Bajra,2006,Summer,Karnataka,1236.0,1415,1146.3,157849.56,271.92,0.81,30.6,51.3,Sandy,6.3,115.1,47.1,51.5,34.6,Rainfed,Local,April,July,90,45.4,17.8,20.1,23.2,18.6,60.5
Small millets,2009,Kharif,Karnataka,26682.0,13089,1321.0,4157589.24,4535.94,0.4905,27.1,73.7,Black,7.16,222.9,72.9,90.0,73.3,Drip,Improved,June,September,85,72.1,15.4,34.4,57.9,10.6,70.2
Groundnut,2016,Autumn,West Bengal,2243.0,2162,1795.8,343739.75,785.05,1.141818182,25.6,82.0,Alluvial,7.49,224.9,88.6,91.2,59.8,Rainfed,High Yielding Variety,October,February,110,73.4,21.4,23.1,43.1,28.0,70.0
Other Cereals,2006,Rabi,Sikkim,2040.0,1790,2270.2,260528.4,448.8,0.83,17.4,80.3,Red,6.03,135.5,49.3,63.9,55.1,Rainfed,Local,November,March,117,57.3,34.6,34.0,43.2,61.9,39.9
Wheat,2011,Rabi,Jammu and Kashmir,291994.0,496542,887.6,48914834.88,96358.02,1.423571429,12.4,49.4,Alluvial,7.43,234.8,94.0,104.2,43.6,Sprinkler,HD 2967,December,April,134,65.7,10.9,12.1,27.5,34.5,56.5
Maize,2001,Kharif,Punjab,165000.0,449000,479.3,16851450.0,42900.0,2.7625,25.2,52.6,Sandy Loam,6.17,136.2,38.5,32.4,46.9,Canal,HQPM,July,October,104,44.2,32.5,42.2,28.6,22.3,46.9
Jowar,1997,Kharif,Haryana,130000.0,32000,661.2,12372100.0,40300.0,0.3575,26.9,56.1,Red,5.87,62.1,37.9,40.1,41.6,Canal,Local,May,September,114,35.5,32.9,18.3,25.6,27.0,47.8
Rice,2013,Rabi,Andhra Pradesh,877885.0,3636603,1062.3,126845603.7,237028.95,3.408461538,21.0,55.4,Red,6.4,206.7,57.3,76.1,53.9,Borewell,High Yielding Variety,November,March,128,61.5,20.3,34.4,39.1,56.0,51.1
Sesamum,2008,Kharif,Kerala,576.0,308,2524.8,82391.04,51.84,0.465714286,33.7,95.0,Laterite,5.35,174.9,46.1,83.3,64.1,Rainfed,Improved,June,September,94,58.3,30.9,27.1,47.3,52.2,48.9
Niger seed,2016,Kharif,Nagaland,32650.0,36560,1959.8,5003612.5,11427.5,1.083636364,22.2,83.0,Red,6.42,185.3,60.2,73.3,69.6,Canal,Local,June,September,102,61.7,24.7,26.3,76.8,6.8,69.8
Garlic,2017,Rabi,Telangana,189.0,265,815.7,29756.16,71.82,1.391666667,15.8,43.3,Red,5.89,166.1,70.3,73.3,44.3,Canal,Agrifound,October,March,136,54.9,17.6,43.8,46.1,19.4,50.1
Sweet potato,2000,Whole Year,Kerala,816.0,8963,2412.6,80106.72,212.16,11.46615385,28.9,94.3,Alluvial,6.86,136.9,48.7,36.4,64.5,Borewell,Improved,January,May,108,51.9,27.0,30.3,70.6,45.7,61.3
Tapioca,2018,Rabi,Andhra Pradesh,83.0,743,1220.5,13462.6,29.05,11.4425,25.9,63.5,Laterite,5.57,192.9,78.0,94.5,57.7,Borewell,H-165,November,August,257,53.2,12.0,22.6,59.3,34.5,57.5
Sugarcane,2013,Whole Year,Madhya Pradesh,55448.0,2797460,1451.4,8011681.52,14970.96,39.73108696,27.1,65.0,Alluvial,6.57,196.4,74.0,95.3,74.7,Canal,Hybrid,January,December,338,79.2,26.8,34.7,69.4,9.4,72.1
Groundnut,2012,Summer,West Bengal,55054.0,127130,1566.0,8302143.2,17066.74,2.3825,31.6,76.2,Red,6.09,148.5,53.3,73.2,54.4,Rainfed,TAG 24,February,June,109,55.6,35.4,28.0,40.9,53.9,41.6
Groundnut,2016,Kharif,Maharashtra,235080.0,286827,1151.1,36026010.0,82278.0,0.95625,28.4,57.5,Black,7.14,187.7,89.2,102.7,55.4,Borewell,TAG 24,July,November,117,69.3,24.3,10.3,46.1,22.6,64.3
Linseed,2002,Rabi,Assam,9717.0,5071,1973.6,919908.39,2429.25,0.508636364,15.3,80.8,Laterite,5.94,77.5,41.5,34.4,69.0,Borewell,HYV,October,February,131,48.4,6.8,11.9,72.8,35.4,69.6
Castor seed,2011,Kharif,Meghalaya,30.0,16,4083.104545,5025.6,9.9,0.66,24.2,95.0,Sandy Loam,6.72,235.8,83.0,123.5,73.7,Canal,Local,June,December,167,81.3,16.9,38.6,87.8,26.2,81.9
Moong(Green Gram),2011,Summer,Puducherry,1310.0,481,1434.5875,219451.2,432.3,0.495,32.9,61.3,Alluvial,6.97,249.6,82.9,91.2,52.4,Rainfed,HYV,February,April,68,68.1,25.9,39.3,33.8,39.6,58.4
Safflower,2000,Rabi,Odisha,1390.0,780,1066.0,136456.3,361.4,0.546,19.4,57.5,Black,7.05,147.9,37.2,39.8,42.7,Rainfed,Improved,October,March,138,52.3,7.4,19.6,23.3,26.0,62.2
Sunflower,2018,Kharif,Maharashtra,16026.0,2610,1387.4,2599417.2,5609.1,0.113571429,26.0,71.5,Black,7.64,261.7,91.2,104.1,58.1,Borewell,Local,July,October,100,75.8,20.8,42.5,69.6,26.8,53.6
Dry chillies,2019,Summer,Puducherry,2.0,26,1317.0,343.52,0.74,13.0,31.4,74.3,Loamy,6.92,244.3,101.6,111.0,41.0,Rainfed,Local,April,September,163,75.8,47.2,45.3,28.3,64.4,46.3
Cowpea(Lobia),2016,Kharif,Nagaland,530.0,770,1959.8,81222.5,185.5,1.453333333,26.3,94.4,Laterite,6.16,162.5,69.2,59.3,56.0,Rainfed,Local,July,October,81,55.7,15.6,24.9,38.2,22.3,56.7
Linseed,2006,Rabi,Madhya Pradesh,126038.0,50037,1072.3,16096312.98,27728.36,0.589130435,13.8,52.5,Black,7.73,172.1,60.2,45.6,56.0,Borewell,Improved,December,April,123,42.2,22.2,19.1,56.1,29.1,61.7
Onion,2012,Whole Year,Madhya Pradesh,72818.0,1423301,1049.5,10980954.4,22573.58,19.753,25.5,60.0,Red,5.76,188.2,56.5,89.8,59.4,Borewell,Hybrid,February,June,128,75.6,19.0,18.4,57.4,49.6,45.1
Other  Rabi pulses,2008,Rabi,Nagaland,1120.0,710,1540.9,160204.8,100.8,0.623333333,14.5,69.6,Alluvial,6.98,187.7,66.1,72.8,74.2,Canal,Improved,December,April,109,65.4,17.3,19.8,69.9,27.8,77.9
Groundnut,1998,Kharif,Kerala,7021.0,5219,3151.5,693674.8,2036.09,0.62,29.0,95.0,Sandy Loam,6.97,107.5,55.1,38.5,58.4,Rainfed,High Yielding Variety,June,October,110,43.8,37.3,22.8,49.9,22.3,59.1
Groundnut,2005,Kharif,Punjab,3400.0,3000,566.7,407728.0,714.0,0.978571429,29.2,49.5,Sandy Loam,6.44,181.9,73.2,54.7,45.0,Borewell,TAG 24,June,October,105,69.7,14.1,23.9,35.8,50.2,56.4
Wheat,2000,Rabi,Nagaland,5000.0,10000,1631.8,490850.0,1300.0,2.0675,12.6,72.6,Laterite,5.63,87.2,44.2,53.2,69.4,Canal,HD 2967,December,April,133,39.0,26.3,21.9,79.0,33.6,73.0
Moth,2000,Kharif,Haryana,122.0,0,383.7,11976.74,31.72,0.0,28.1,47.4,Alluvial,7.17,149.7,44.4,70.2,35.5,Borewell,Local,July,September,67,44.4,12.6,35.3,27.7,31.4,54.5
Garlic,2015,Whole Year,Gujarat,7594.0,42307,584.3,1199168.54,2506.02,5.516666667,20.3,42.8,Black,8.03,240.9,83.3,84.8,37.8,Borewell,High Yielding Variety,January,June,142,62.3,22.5,23.4,23.1,38.6,58.1
Moong(Green Gram),2005,Rabi,West Bengal,1411.0,931,1650.1,169207.12,296.31,0.648,23.4,84.9,Sandy Loam,6.7,144.8,51.1,75.1,57.8,Rainfed,Local,December,February,69,61.7,39.1,16.5,47.5,46.9,55.1
Tobacco,2017,Whole Year,West Bengal,13985.0,17672,1830.0,2201798.4,5314.3,1.29,23.3,79.5,Sandy Loam,6.76,184.4,70.8,90.6,52.9,Rainfed,FCV,January,May,128,68.8,39.2,19.3,38.2,16.9,69.0
Rapeseed &Mustard,2018,Kharif,Karnataka,3172.0,628,1419.1,514498.4,1110.2,0.13,25.2,82.6,Red,5.84,225.1,74.7,90.0,45.6,Rainfed,HYV,May,September,128,66.4,40.5,37.1,34.8,53.5,58.4
other oilseeds,2002,Whole Year,Sikkim,60.0,30,2496.2,5680.2,15.0,0.5,21.6,81.9,Loamy,6.74,125.4,35.2,51.7,55.6,Rainfed,Improved,January,May,114,52.0,13.5,29.6,44.1,37.2,61.1
Horse-gram,2014,Kharif,Nagaland,450.0,480,1333.3,67932.0,148.5,1.046363636,24.1,90.6,Sandy Loam,6.65,158.5,69.2,85.8,50.0,Rainfed,Improved,July,November,106,67.6,16.5,25.8,42.2,16.1,61.1
Wheat,2017,Rabi,Jharkhand,220963.0,468754,1165.7,34788414.72,83965.94,2.164583333,18.3,55.3,Loamy,6.61,220.0,86.4,93.2,55.8,Borewell,HD 2967,November,March,123,74.8,19.2,38.0,49.3,5.5,74.1
Sesamum,2011,Winter,Odisha,16749.0,2507,1346.2,2805792.48,5527.17,0.176086957,25.3,69.6,Alluvial,7.37,244.4,83.7,111.5,50.6,Rainfed,Local,November,February,89,71.8,30.7,30.4,41.2,47.5,60.9
Wheat,2004,Rabi,Assam,63854.0,68083,2536.9,6917942.36,13409.34,1.056956522,17.5,81.2,Alluvial,6.58,156.1,57.5,79.8,73.9,Rainfed,Local,December,April,130,65.7,23.8,27.4,54.9,3.1,74.8
Wheat,2004,Rabi,Andhra Pradesh,9174.0,4605,781.8,993911.16,1926.54,0.387272727,19.5,63.7,Red,5.78,113.1,54.0,62.5,44.8,Borewell,High Yielding Variety,October,March,138,47.4,11.9,19.6,30.5,24.5,59.5
Potato,2017,Whole Year,Gujarat,130397.0,3752816,814.8,20529703.68,49550.86,27.283125,24.4,43.9,Black,8.23,254.2,71.0,119.8,53.9,Borewell,Kufri Bahar,February,May,98,71.1,19.7,39.6,28.3,74.6,56.6
Tobacco,2018,Whole Year,Kerala,7.28,12,2989.7,1180.816,2.548,1.6,25.5,95.0,Sandy Loam,6.24,210.8,65.7,97.6,57.2,Rainfed,FCV,January,June,137,64.4,48.7,38.8,43.3,9.2,65.2
Arhar/Tur,2005,Rabi,Jharkhand,14217.46,17991,965.2,1704957.803,2985.6666,1.269285714,21.0,52.8,Loamy,6.11,172.3,46.9,63.7,67.7,Borewell,Pusa 992,October,April,168,62.5,25.1,41.5,44.2,47.4,61.0
Bajra,2005,Kharif,Jammu and Kashmir,13008.0,7778,1721.8,1559919.36,2731.68,0.5675,24.3,65.5,Alluvial,7.12,156.3,50.9,76.1,50.0,Rainfed,HHB 67,May,August,88,60.7,31.7,29.6,52.7,53.8,51.8
Sweet potato,2017,Kharif,Meghalaya,4712.0,15751,4472.3,741857.28,1790.56,3.694545455,23.8,95.0,Sandy Loam,6.44,203.3,72.9,83.4,78.7,Canal,Hybrid,May,September,108,67.8,8.9,38.5,90.2,32.2,77.2
Sesamum,2011,Whole Year,Madhya Pradesh,328209.0,171982,852.6,54981571.68,108308.97,0.5806,24.9,39.8,Sandy Loam,6.47,209.5,80.0,95.8,35.3,Rainfed,Improved,January,April,94,61.7,9.7,21.9,1.6,55.6,42.2
Moong(Green Gram),2010,Kharif,Manipur,390.0,399,2160.5,64782.9,93.6,1.033333333,26.6,84.4,Loamy,6.82,277.5,75.4,87.9,63.8,Rainfed,Improved,May,July,63,79.2,27.1,32.8,47.7,25.8,61.7
Coriander,2010,Whole Year,Madhya Pradesh,174966.0,68864,856.3,29063602.26,41991.84,0.3425,23.0,50.6,Black,7.29,254.8,82.6,104.9,31.8,Rainfed,High Yielding Variety,February,June,106,65.0,3.0,22.2,10.1,33.6,42.1
Rice,2003,Summer,Kerala,37186.0,83239,2386.0,3680670.28,8924.64,1.845,30.8,95.0,Laterite,5.79,85.0,40.8,45.4,77.6,Canal,Hybrid,February,July,142,40.1,26.3,32.4,70.7,42.8,72.1
Turmeric,2017,Kharif,Puducherry,8.0,24,1582.4,1259.52,3.04,3.0,27.9,80.6,Sandy,6.61,169.9,52.6,72.2,61.9,Canal,Hybrid,July,March,229,58.9,27.4,29.3,72.4,36.3,60.3
Horse-gram,2010,Kharif,Karnataka,88254.0,50744,1317.7,14659871.94,21180.96,0.621538462,28.4,64.3,Laterite,5.68,219.0,80.6,94.6,58.6,Drip,Local,July,October,102,60.2,23.8,16.1,43.8,44.7,59.8
Barley,2018,Kharif,Madhya Pradesh,28978.0,57407,1102.2,4700231.6,10142.3,2.018611111,25.8,63.7,Sandy Loam,6.75,209.2,81.3,112.0,52.1,Rainfed,RD 2552,June,November,137,77.8,11.3,22.9,19.3,45.3,61.1
Sannhamp,2001,Whole Year,Chhattisgarh,1736.0,611,1550.0,177297.68,451.36,0.34875,29.8,66.9,Red,6.23,107.7,51.9,59.9,69.3,Canal,Improved,January,April,100,48.3,12.8,28.8,82.7,4.1,75.7
Sunflower,2018,Kharif,Nagaland,360.0,320,1372.7,58392.0,126.0,0.898333333,25.7,83.3,Loamy,6.56,249.6,93.4,104.0,53.0,Rainfed,KBSH,June,September,92,84.9,30.0,34.9,32.7,36.4,64.8
Dry chillies,2002,Whole Year,Karnataka,155499.0,153443,860.8,14721090.33,38874.75,1.266666667,27.3,52.7,Red,6.03,92.4,42.5,52.0,40.9,Drip,Guntur,January,July,169,42.3,38.1,19.1,37.7,39.2,43.6
Cotton(lint),2004,Kharif,Nagaland,1500.0,150,1711.5,162510.0,315.0,0.096666667,25.1,95.0,Black,7.16,98.1,43.4,64.1,55.7,Rainfed,Hybrid,July,January,171,46.1,51.1,46.2,57.4,27.1,52.7
